,DOMICILIO_ACESSO_INTERNET,TEM_RADIO,TEM_DVD,NUMERO_TV_PLASMA,NUMERO_TV_TUBO,TEM_ASSINATURA_TV
2,Nao,Nao,Sim,0.0,1.0,Nao
4,Nao,Nao,Sim,0.0,2.0,Nao
5,Nao,Nao,Sim,0.0,2.0,Nao
6,Nao,Nao,Sim,0.0,1.0,Sim
7,Sim,Sim,Sim,1.0,0.0,Sim
8,Sim,Sim,Nao,1.0,0.0,Nao
9,Sim,Nao,Sim,1.0,0.0,Nao
10,Nao,Sim,Nao,1.0,2.0,Nao
11,Nao,Nao,Sim,1.0,0.0,Nao
12,Nao,Nao,Nao,1.0,0.0,Nao
15,Nao,Nao,Sim,0.0,1.0,Nao
17,Sim,Nao,Sim,1.0,1.0,Nao
18,Nao,Sim,Nao,0.0,1.0,Nao
19,Nao,Sim,Sim,0.0,1.0,Nao
20,Nao,Nao,Sim,0.0,1.0,Nao
21,Nao,Sim,Sim,0.0,1.0,Nao
22,Sim,Nao,Nao,0.0,1.0,Nao
24,Sim,Nao,Sim,1.0,0.0,Nao
25,Nao,Nao,Sim,0.0,1.0,Sim
26,Nao,Nao,Nao,0.0,1.0,Nao
28,Sim,Nao,Sim,0.0,2.0,Sim
29,Sim,Sim,Sim,1.0,1.0,Sim
30,Nao,Nao,Sim,0.0,1.0,Nao
31,Sim,Sim,Sim,3.0,0.0,Sim
32,Sim,Nao,Nao,0.0,1.0,Sim
33,Nao,Sim,Nao,1.0,0.0,Nao
34,Sim,Sim,Sim,2.0,0.0,Nao
35,Nao,Sim,Nao,1.0,0.0,Nao
36,Sim,Sim,Sim,2.0,0.0,Nao
38,Nao,Nao,Nao,2.0,0.0,Nao
40,Sim,Sim,Sim,2.0,0.0,Sim
41,Nao,Nao,Nao,1.0,0.0,Nao
42,Nao,Nao,Sim,2.0,0.0,Nao
43,Sim,Sim,Sim,1.0,0.0,Sim
44,Nao,Nao,Sim,1.0,0.0,Nao
45,Nao,Sim,Sim,1.0,0.0,Nao
46,Sim,Sim,Sim,1.0,0.0,Sim
47,Sim,Nao,Sim,2.0,0.0,Nao
48,Nao,Sim,Sim,1.0,0.0,Nao
49,Nao,Nao,Sim,1.0,0.0,Nao
50,Nao,Sim,Sim,2.0,0.0,Nao
51,Sim,Nao,Sim,1.0,1.0,Nao
52,Nao,Nao,Sim,1.0,0.0,Nao
53,Sim,Sim,Sim,0.0,1.0,Nao
54,Nao,Nao,Sim,0.0,1.0,Nao
56,Nao,Nao,Sim,0.0,2.0,Nao
57,Nao,Nao,Nao,1.0,0.0,Nao
59,Sim,Sim,Sim,0.0,1.0,Nao
60,Nao,Sim,Sim,0.0,2.0,Nao
61,Nao,Sim,Sim,0.0,1.0,Nao
63,Nao,Nao,Nao,0.0,1.0,Nao
65,Nao,Nao,Nao,0.0,1.0,Nao
66,Sim,Nao,Sim,0.0,2.0,Nao
67,Nao,Nao,Sim,0.0,2.0,Nao
70,Nao,Sim,Sim,1.0,0.0,Nao
71,Nao,Nao,Sim,0.0,1.0,Nao
73,Nao,Sim,Nao,0.0,1.0,Nao
74,Nao,Sim,Sim,1.0,1.0,Nao
75,Nao,Nao,Sim,1.0,1.0,Nao
77,Sim,Nao,Sim,1.0,0.0,Nao
78,Nao,Nao,Sim,0.0,1.0,Nao
80,Sim,Sim,Sim,0.0,1.0,Nao
81,Nao,Nao,Nao,0.0,1.0,Nao
82,Sim,Sim,Sim,1.0,1.0,Nao
83,Nao,Nao,Sim,0.0,1.0,Nao
84,Sim,Nao,Sim,0.0,1.0,Nao
85,Sim,Sim,Sim,0.0,1.0,Nao
86,Sim,Nao,Sim,0.0,1.0,Nao
87,Sim,Nao,Sim,1.0,0.0,Nao
88,Nao,Sim,Sim,1.0,0.0,Nao
89,Sim,Nao,Nao,0.0,1.0,Nao
90,Nao,Nao,Sim,0.0,1.0,Nao
91,Nao,Sim,Sim,0.0,1.0,Nao
92,Sim,Sim,Sim,1.0,0.0,Nao
93,Sim,Sim,Sim,0.0,1.0,Nao
94,Nao,Nao,Nao,1.0,0.0,Nao
95,Sim,Nao,Nao,0.0,1.0,Nao
96,Nao,Nao,Nao,0.0,1.0,Nao
98,Nao,Sim,Sim,0.0,2.0,Nao
99,Sim,Nao,Sim,1.0,0.0,Nao
100,Nao,Sim,Sim,1.0,0.0,Nao
101,Nao,Nao,Sim,0.0,1.0,Nao
102,Sim,Nao,Sim,0.0,2.0,Nao
103,Nao,Nao,Sim,0.0,1.0,Nao
104,Nao,Nao,Nao,1.0,0.0,Nao
105,Nao,Sim,Sim,1.0,0.0,Nao
106,Nao,Sim,Sim,0.0,1.0,Nao
107,Nao,Nao,Sim,0.0,1.0,Nao
108,Nao,Nao,Sim,0.0,1.0,Nao
111,Nao,Nao,Sim,1.0,0.0,Nao
112,Nao,Sim,Sim,0.0,2.0,Nao
113,Nao,Nao,Sim,0.0,1.0,Nao
114,Sim,Nao,Nao,1.0,0.0,Nao
116,Nao,Sim,Nao,0.0,1.0,Nao
118,Sim,Sim,Sim,1.0,1.0,Sim
120,Nao,Nao,Sim,0.0,1.0,Nao
121,Nao,Sim,Sim,0.0,1.0,Nao
122,Nao,Nao,Sim,0.0,1.0,Nao
123,Nao,Nao,Sim,0.0,1.0,Nao
124,Nao,Sim,Nao,0.0,1.0,Nao
125,Nao,Nao,Sim,0.0,1.0,Nao
128,Nao,Sim,Nao,0.0,1.0,Nao
129,Nao,Nao,Sim,0.0,1.0,Nao
130,Nao,Sim,Nao,0.0,1.0,Nao
132,Nao,Nao,Sim,0.0,1.0,Nao
134,Sim,Nao,Nao,0.0,2.0,Nao
135,Nao,Nao,Sim,0.0,1.0,Nao
139,Nao,Nao,Sim,1.0,0.0,Nao
140,Nao,Sim,Sim,0.0,1.0,Nao
141,Nao,Nao,Nao,0.0,1.0,Nao
142,Nao,Nao,Nao,0.0,1.0,Nao
143,Nao,Sim,Sim,0.0,1.0,Nao
144,Nao,Sim,Sim,0.0,2.0,Nao
145,Nao,Nao,Nao,0.0,1.0,Nao
147,Nao,Nao,Sim,0.0,1.0,Nao
148,Nao,Nao,Sim,1.0,1.0,Nao
149,Nao,Sim,Sim,1.0,1.0,Sim
150,Nao,Nao,Nao,0.0,1.0,Nao
151,Sim,Nao,Sim,2.0,0.0,Nao
153,Nao,Nao,Sim,0.0,1.0,Nao
155,Sim,Sim,Sim,2.0,1.0,Nao
156,Sim,Nao,Sim,0.0,3.0,Nao
159,Sim,Sim,Nao,0.0,1.0,Nao
160,Nao,Nao,Sim,1.0,0.0,Sim
161,Nao,Sim,Sim,1.0,1.0,Nao
162,Sim,Sim,Sim,0.0,2.0,Nao
164,Nao,Sim,Sim,0.0,1.0,Nao
165,Sim,Sim,Sim,0.0,1.0,Nao
166,Nao,Sim,Sim,0.0,1.0,Nao
167,Nao,Nao,Sim,1.0,0.0,Nao
168,Sim,Nao,Sim,0.0,1.0,Nao
170,Nao,Sim,Sim,0.0,1.0,Nao
171,Nao,Sim,Sim,2.0,1.0,Sim
172,Nao,Sim,Sim,1.0,0.0,Nao
173,Sim,Sim,Nao,1.0,1.0,Sim
174,Nao,Sim,Nao,0.0,1.0,Nao
175,Sim,Sim,Nao,0.0,1.0,Nao
176,Sim,Sim,Sim,1.0,0.0,Nao
177,Nao,Sim,Sim,0.0,1.0,Nao
179,Sim,Sim,Sim,0.0,1.0,Nao
183,Nao,Sim,Sim,0.0,1.0,Nao
184,Sim,Sim,Sim,0.0,1.0,Nao
185,Sim,Sim,Sim,0.0,1.0,Nao
186,Sim,Nao,Nao,0.0,1.0,Nao
187,Sim,Sim,Sim,0.0,1.0,Nao
188,Nao,Sim,Nao,0.0,1.0,Nao
189,Nao,Nao,Sim,0.0,1.0,Nao
190,Nao,Sim,Nao,0.0,1.0,Nao
192,Sim,Sim,Nao,0.0,1.0,Nao
193,Nao,Sim,Sim,0.0,1.0,Nao
194,Nao,Sim,Nao,0.0,1.0,Nao
195,Nao,Sim,Nao,1.0,1.0,Nao
