,DOMICILIO_ACESSO_INTERNET,TEM_RADIO,TEM_DVD,NUMERO_TV_PLASMA,NUMERO_TV_TUBO,TEM_ASSINATURA_TV
0,Nao,Nao,Nao,1.0,0.0,Nao
3,Sim,Sim,Sim,1.0,0.0,Nao
5,Sim,Sim,Nao,0.0,2.0,Nao
6,Nao,Sim,Nao,0.0,1.0,Nao
7,Nao,Sim,Nao,0.0,1.0,Nao
8,Sim,Nao,Sim,1.0,0.0,Nao
10,Sim,Nao,Nao,1.0,0.0,Sim
11,Sim,Sim,Sim,1.0,1.0,Nao
13,Sim,Nao,Nao,1.0,0.0,Nao
15,Sim,Nao,Sim,1.0,0.0,Nao
16,Nao,Sim,Nao,1.0,0.0,Nao
17,Sim,Nao,Sim,1.0,1.0,Nao
18,Sim,Sim,Nao,3.0,0.0,Sim
19,Sim,Sim,Nao,0.0,1.0,Nao
20,Sim,Sim,Sim,1.0,0.0,Nao
21,Nao,Nao,Sim,0.0,1.0,Nao
23,Sim,Nao,Nao,2.0,0.0,Nao
26,Nao,Nao,Sim,0.0,1.0,Nao
27,Sim,Sim,Sim,1.0,0.0,Sim
28,Sim,Sim,Sim,2.0,0.0,Sim
29,Sim,Nao,Nao,0.0,1.0,Nao
30,Nao,Nao,Sim,1.0,1.0,Nao
31,Sim,Sim,Sim,1.0,1.0,Nao
32,Sim,Nao,Nao,1.0,1.0,Nao
33,Sim,Nao,Sim,1.0,1.0,Nao
35,Nao,Sim,Sim,1.0,0.0,Nao
36,Nao,Nao,Nao,2.0,0.0,Nao
37,Sim,Nao,Nao,1.0,0.0,Nao
38,Nao,Nao,Sim,1.0,0.0,Sim
39,Sim,Nao,Sim,0.0,1.0,Nao
40,Nao,Nao,Nao,1.0,0.0,Nao
41,Nao,Nao,Nao,1.0,0.0,Nao
42,Sim,Nao,Nao,1.0,1.0,Nao
43,Sim,Sim,Nao,0.0,1.0,Nao
44,Sim,Nao,Sim,1.0,0.0,Nao
45,Sim,Nao,Sim,1.0,0.0,Nao
46,Nao,Nao,Nao,1.0,0.0,Nao
47,Nao,Nao,Nao,2.0,0.0,Nao
48,Nao,Nao,Nao,2.0,0.0,Sim
49,Nao,Nao,Nao,0.0,1.0,Nao
50,Sim,Sim,Sim,1.0,0.0,Nao
51,Nao,Nao,Nao,0.0,1.0,Nao
52,Nao,Nao,Nao,1.0,0.0,Nao
54,Sim,Sim,Sim,0.0,1.0,Nao
55,Nao,Sim,Sim,0.0,1.0,Nao
58,Nao,Sim,Sim,0.0,1.0,Nao
60,Nao,Sim,Nao,1.0,0.0,Nao
61,Nao,Sim,Sim,0.0,1.0,Nao
62,Nao,Sim,Nao,0.0,1.0,Nao
63,Nao,Sim,Nao,0.0,2.0,Nao
64,Nao,Sim,Nao,0.0,2.0,Nao
65,Nao,Sim,Sim,0.0,2.0,Nao
66,Sim,Sim,Nao,2.0,0.0,Nao
67,Nao,Sim,Sim,1.0,0.0,Nao
68,Nao,Sim,Sim,0.0,1.0,Nao
70,Nao,Nao,Sim,1.0,0.0,Nao
71,Sim,Nao,Sim,0.0,2.0,Nao
73,Sim,Nao,Sim,1.0,0.0,Nao
74,Sim,Nao,Sim,1.0,0.0,Nao
75,Nao,Sim,Nao,0.0,1.0,Nao
76,Sim,Sim,Sim,1.0,1.0,Nao
77,Sim,Sim,Sim,0.0,1.0,Sim
78,Sim,Nao,Nao,1.0,0.0,Nao
79,Sim,Nao,Nao,2.0,0.0,Sim
80,Sim,Nao,Sim,1.0,1.0,Sim
82,Nao,Nao,Nao,1.0,0.0,Nao
85,Sim,Sim,Nao,2.0,0.0,Nao
86,Nao,Sim,Nao,0.0,1.0,Nao
87,Sim,Nao,Sim,0.0,1.0,Nao
88,Nao,Nao,Nao,0.0,1.0,Nao
89,Nao,Sim,Sim,0.0,1.0,Nao
90,Nao,Sim,Nao,0.0,1.0,Nao
91,Nao,Nao,Nao,0.0,2.0,Nao
92,Nao,Nao,Sim,0.0,2.0,Nao
93,Sim,Sim,Sim,1.0,0.0,Nao
94,Sim,Sim,Sim,1.0,0.0,Nao
95,Nao,Nao,Nao,0.0,1.0,Nao
96,Sim,Sim,Nao,1.0,1.0,Nao
97,Sim,Nao,Nao,1.0,0.0,Nao
99,Nao,Nao,Sim,0.0,1.0,Nao
102,Sim,Nao,Sim,0.0,1.0,Nao
105,Sim,Sim,Sim,1.0,0.0,Nao
107,Nao,Sim,Nao,1.0,0.0,Nao
108,Nao,Sim,Nao,0.0,1.0,Nao
109,Nao,Sim,Nao,1.0,0.0,Nao
110,Sim,Sim,Sim,0.0,1.0,Nao
111,Sim,Nao,Sim,0.0,1.0,Nao
112,Sim,Nao,Nao,1.0,0.0,Nao
113,Sim,Nao,Sim,0.0,1.0,Nao
114,Nao,Sim,Nao,1.0,1.0,Nao
115,Nao,Nao,Nao,0.0,1.0,Nao
116,Sim,Nao,Sim,0.0,1.0,Nao
117,Sim,Sim,Nao,1.0,0.0,Nao
119,Sim,Nao,Nao,1.0,0.0,Nao
120,Sim,Nao,Nao,1.0,0.0,Nao
124,Sim,Sim,Sim,0.0,1.0,Nao
127,Nao,Nao,Sim,0.0,1.0,Nao
128,Nao,Nao,Nao,0.0,1.0,Nao
129,Nao,Sim,Sim,1.0,1.0,Sim
130,Nao,Nao,Nao,0.0,1.0,Nao
131,Nao,Nao,Nao,1.0,0.0,Nao
132,Sim,Sim,Nao,1.0,0.0,Sim
134,Sim,Nao,Sim,0.0,1.0,Nao
135,Nao,Sim,Nao,1.0,0.0,Nao
139,Sim,Nao,Nao,0.0,1.0,Nao
140,Sim,Nao,Sim,2.0,0.0,Sim
142,Sim,Sim,Sim,1.0,0.0,Sim
143,Sim,Nao,Sim,1.0,3.0,Nao
144,Sim,Nao,Nao,0.0,1.0,Nao
145,Nao,Nao,Nao,0.0,1.0,Nao
146,Nao,Nao,Sim,0.0,1.0,Nao
147,Nao,Nao,Nao,0.0,1.0,Nao
148,Nao,Nao,Nao,1.0,0.0,Nao
149,Nao,Nao,Nao,0.0,1.0,Nao
150,Nao,Sim,Sim,1.0,0.0,Nao
152,Sim,Sim,Sim,1.0,1.0,Nao
153,Nao,Nao,Nao,1.0,0.0,Nao
154,Nao,Nao,Nao,0.0,1.0,Nao
155,Nao,Nao,Nao,0.0,1.0,Nao
156,Nao,Nao,Nao,0.0,1.0,Nao
157,Sim,Nao,Nao,1.0,0.0,Nao
158,Nao,Sim,Sim,0.0,2.0,Nao
159,Nao,Nao,Sim,1.0,1.0,Nao
